"group","date","n","avg_progress","Groups"
"uu",2023-06-05,10,17.64705882,NA
"uu",2023-06-15,16,27.02205882,NA
"uu",2023-06-23,20,34.85294118,NA
"uu",2023-07-13,15,0.208333333,NA
"uu",2023-07-24,15,0.208333333,NA
"uu",2023-08-03,16,6.0546875,NA
"uu",2023-08-14,18,11.28472222,NA
"uu",2023-08-24,21,13.83928571,NA
"uu",2023-09-14,26,18.14903846,NA
"uu",2023-10-04,36,23.95833333,NA
"uu",2023-11-09,38,26.06907895,NA
"other",2023-06-15,3,36.2745098,NA
"other",2023-06-23,4,27.20588235,NA
"other",2023-07-13,1,0,NA
"other",2023-07-24,2,0,NA
"other",2023-08-03,4,25,NA
"other",2023-08-14,6,17.70833333,NA
"other",2023-08-24,6,25,NA
"other",2023-09-14,9,27.43055556,NA
"other",2023-10-04,10,24.6875,NA
"other",2023-11-09,10,24.6875,NA
"uu_students",2023-06-15,2,1.470588235,NA
"uu_students",2023-06-23,2,1.470588235,NA
"uu_students",2023-07-24,1,87.5,NA
"uu_students",2023-08-03,1,87.5,NA
"uu_students",2023-08-14,2,43.75,NA
"uu_students",2023-08-24,2,43.75,NA
"uu_students",2023-09-14,3,57.29166667,NA
"uu_students",2023-10-04,4,42.96875,NA
"uu_students",2023-11-09,5,34.375,NA
"uu",2023-12-01,44,27.76988636,NA
"uu_students",2023-12-01,9,50,NA
"other",2023-12-01,10,24.6875,NA
"uu",2024-01-08,50,26.25,NA
"uu_students",2024-01-08,10,54.0625,NA
"other",2024-01-08,10,24.6875,NA
NA,2024-02-01,12,15.3645833333333,"DGK"
NA,2024-02-01,5,36.25,"REBO"
NA,2024-02-01,18,34.375,"FSW"
NA,2024-02-01,2,46.875,"GEO"
NA,2024-02-01,5,1.875,"GW"
NA,2024-02-01,15,27.5,"BETA"
NA,2024-02-01,1,6.25,"MED"
NA,2024-02-01,2,6.25,"UB"
NA,2024-02-01,1,71.875,"UBD"
NA,2024-02-01,11,49.1477272727273,"Student"
NA,2024-02-01,11,25.8522727272727,"External"
"uu",2024-02-01,58,25.7004310344828,NA
"uu_students",2024-02-01,13,48.7980769230769,NA
"other",2024-02-01,12,24.21875,NA
NA,2024-03-01,12,15.9090909090909,"DGK"
NA,2024-03-01,5,37.5757575757576,"REBO"
NA,2024-03-01,18,39.0572390572391,"FSW"
NA,2024-03-01,3,32.3232323232323,"GEO"
NA,2024-03-01,5,1.81818181818182,"GW"
NA,2024-03-01,15,28.2828282828283,"BETA"
NA,2024-03-01,1,6.06060606060606,"MED"
NA,2024-03-01,2,6.06060606060606,"UB"
NA,2024-03-01,1,72.7272727272727,"UBD"
